iter	Passed	Remaining
0	279	44503
1	494	39038
2	711	37247
3	916	35754
4	1151	35696
5	1365	35037
6	1563	34182
7	1773	33694
8	1973	33112
9	2175	32639
10	2595	35162
11	3019	37235
12	3469	39231
13	3898	40658
14	4319	41751
15	4720	42483
16	5114	43023
17	5657	44632
18	6113	45366
19	6568	45981
20	7185	47559
21	8118	50922
22	8862	52788
23	9596	54379
24	10304	55646
25	10948	56426
26	11583	57057
27	12205	57539
28	12853	58062
29	13468	58361
30	14746	61365
31	15995	63980
32	17073	65705
33	18414	68240
34	19755	70555
35	20838	71776
36	21849	72633
37	22816	73254
38	23776	73769
39	24735	74205
40	25017	72611
41	25294	71065
42	25564	69559
43	25839	68122
44	26110	66727
45	26367	65345
46	26620	64002
47	26874	62708
48	27144	61491
49	27392	60264
50	27981	59804
51	28535	59266
52	29071	58691
53	29592	58089
54	30102	57468
55	30757	57121
56	31287	56537
57	31798	55920
58	32304	55300
59	32822	54704
60	33672	54649
61	34624	54729
62	35618	54841
63	36562	54844
64	37652	55030
65	38615	54998
66	39603	54971
67	40566	54883
68	41455	54673
69	42325	54419
70	44253	55472
71	45993	56213
72	47692	56839
73	49531	57563
74	51542	58414
75	53679	59329
