iter	Passed	Remaining
0	0	394
1	0	402
2	1	347
3	1	318
4	1	318
5	1	319
6	2	304
7	2	307
8	2	298
9	3	298
10	3	291
11	3	285
12	4	315
13	4	318
14	4	325
15	5	328
16	5	325
17	6	331
18	6	338
19	7	345
20	7	350
21	7	345
22	8	345
23	8	349
24	8	349
25	9	352
26	9	359
27	10	359
28	10	358
29	11	361
30	11	363
31	11	362
32	12	364
33	12	366
34	13	362
35	13	361
36	13	360
37	14	359
38	14	358
39	15	360
40	15	361
41	16	365
42	16	363
43	16	359
44	16	356
45	17	355
46	17	354
47	17	356
48	18	354
49	18	356
50	19	356
51	19	357
52	20	366
53	21	368
54	21	366
55	21	368
56	22	367
57	22	366
58	23	377
59	24	382
60	24	380
61	25	378
62	25	377
63	25	375
64	25	372
65	26	372
66	26	369
67	26	369
68	27	367
69	27	364
70	27	361
71	28	361
72	28	360
73	28	359
74	29	357
75	29	357
76	29	355
77	30	355
78	30	355
79	30	355
80	31	353
81	31	355
82	32	356
83	32	354
84	32	352
85	32	349
86	33	347
87	33	345
88	33	343
89	33	341
90	33	339
91	34	337
92	34	335
93	34	333
94	34	331
95	34	329
96	35	327
97	35	325
98	44	402
99	44	402
100	44	400
101	45	400
102	45	399
103	46	397
104	46	396
105	46	393
106	46	391
107	47	391
108	47	390
109	48	389
110	48	387
111	48	385
112	49	384
113	49	384
114	49	381
115	49	380
116	50	379
117	50	378
118	50	376
119	51	374
120	51	372
121	51	369
122	51	367
123	51	365
124	51	363
125	52	361
126	52	359
127	52	357
128	52	356
129	52	354
130	53	352
131	53	350
132	53	348
133	53	347
134	53	345
135	54	343
136	54	341
137	54	340
138	54	338
139	54	336
140	55	335
141	55	333
142	55	332
143	55	330
144	55	329
145	55	327
146	56	326
147	56	324
148	56	322
149	56	321
150	56	320
151	57	318
152	57	317
153	57	315
154	57	314
155	57	313
156	58	311
157	58	310
158	58	309
159	58	307
160	58	306
161	59	305
162	59	304
163	59	302
164	59	301
165	59	300
166	59	299
167	60	297
168	60	296
169	60	295
170	60	294
171	60	293
172	61	292
173	61	291
174	61	289
175	61	288
176	61	287
177	62	286
178	62	285
179	62	284
180	62	283
181	62	282
182	62	281
183	63	280
184	63	279
185	63	278
186	63	277
187	63	276
188	64	275
189	64	274
190	64	273
191	64	272
192	64	271
193	65	270
194	65	269
195	65	268
196	65	267
197	65	266
198	66	265
199	66	264
200	66	264
201	66	263
202	66	262
203	67	261
204	67	260
205	67	260
206	67	259
207	67	258
208	68	257
209	68	256
210	68	255
211	68	255
212	68	254
213	68	253
214	69	252
215	69	251
216	69	251
217	69	250
218	69	249
219	70	248
220	70	247
221	70	247
222	70	246
