,_id,x,y,z
0,1,12848.0,704.0,-10332.0
1,1,12832.0,668.0,-10424.0
2,1,12808.0,580.0,-10372.0
3,1,12828.0,644.0,-10232.0
4,1,12796.0,600.0,-10320.0
5,1,12876.0,628.0,-10276.0
6,1,12776.0,592.0,-10316.0
7,1,12760.0,544.0,-10340.0
8,1,12880.0,620.0,-10284.0
9,1,12768.0,604.0,-10332.0
10,1,12872.0,604.0,-10268.0
11,1,12824.0,612.0,-10264.0
12,1,12860.0,596.0,-10268.0
13,1,12796.0,640.0,-10328.0
14,1,12752.0,656.0,-10232.0
15,1,12816.0,584.0,-10272.0
16,1,12860.0,632.0,-10180.0
17,1,12896.0,616.0,-10268.0
18,1,12856.0,644.0,-10236.0
19,1,12880.0,556.0,-10416.0
20,1,12888.0,536.0,-10304.0
21,1,12940.0,576.0,-10248.0
22,1,12972.0,632.0,-10224.0
23,1,12896.0,648.0,-10152.0
24,1,12804.0,580.0,-10224.0
25,1,12864.0,592.0,-10188.0
26,1,12848.0,628.0,-10172.0
27,1,12868.0,600.0,-10224.0
28,1,12848.0,592.0,-10232.0
29,1,12896.0,600.0,-10276.0
30,1,12936.0,608.0,-10224.0
31,1,12868.0,608.0,-10360.0
32,1,12928.0,612.0,-10316.0
33,1,12820.0,616.0,-10252.0
34,1,12832.0,604.0,-10252.0
35,1,12900.0,568.0,-10256.0
36,1,12924.0,628.0,-10344.0
37,1,12860.0,660.0,-10288.0
38,1,12808.0,588.0,-10240.0
39,1,12808.0,568.0,-10360.0
40,1,12812.0,632.0,-10376.0
41,1,12840.0,668.0,-10268.0
42,1,12792.0,672.0,-10300.0
43,1,12816.0,684.0,-10272.0
44,1,12768.0,636.0,-10268.0
45,1,12836.0,640.0,-10292.0
46,1,12780.0,648.0,-10228.0
47,1,12888.0,740.0,-10308.0
48,1,12816.0,604.0,-10376.0
49,1,12876.0,620.0,-10344.0
50,1,12832.0,688.0,-10360.0
51,1,12804.0,572.0,-10408.0
52,1,12800.0,640.0,-10336.0
53,1,12960.0,652.0,-10348.0
54,1,12836.0,668.0,-10352.0
55,1,12712.0,676.0,-10276.0
56,1,12776.0,636.0,-10392.0
57,1,12820.0,544.0,-10344.0
58,1,12760.0,552.0,-10284.0
59,1,12772.0,636.0,-10292.0
60,1,12796.0,624.0,-10404.0
61,1,12644.0,500.0,-10508.0
62,1,12696.0,568.0,-10416.0
63,1,12792.0,580.0,-10184.0
64,1,12696.0,848.0,-10452.0
65,1,12640.0,920.0,-10248.0
66,1,13140.0,896.0,-9780.0
67,1,13468.0,596.0,-9628.0
68,1,13448.0,592.0,-9680.0
69,1,13776.0,564.0,-9476.0
70,1,13608.0,308.0,-9720.0
71,1,12996.0,360.0,-10180.0
72,1,12692.0,404.0,-10376.0
73,1,12568.0,564.0,-10504.0
74,1,12480.0,684.0,-10496.0
75,1,12572.0,588.0,-10344.0
76,1,12872.0,596.0,-10244.0
77,1,12904.0,860.0,-10116.0
78,1,12952.0,756.0,-10104.0
79,1,12980.0,708.0,-10156.0
80,1,13020.0,728.0,-10140.0
81,1,12880.0,748.0,-10196.0
82,1,12972.0,692.0,-10024.0
83,1,13100.0,688.0,-9876.0
84,1,13236.0,760.0,-9884.0
85,1,13252.0,560.0,-9804.0
86,1,13268.0,584.0,-9820.0
87,1,13404.0,544.0,-9692.0
88,1,13472.0,488.0,-9572.0
89,1,13356.0,508.0,-9628.0
90,1,13384.0,564.0,-9536.0
91,1,13500.0,576.0,-9464.0
92,1,13424.0,460.0,-9588.0
93,1,13280.0,488.0,-9652.0
94,1,13352.0,536.0,-9608.0
95,1,13216.0,576.0,-9804.0
96,1,13232.0,536.0,-9768.0
97,1,13352.0,500.0,-9608.0
98,1,13352.0,516.0,-9796.0
99,1,13324.0,440.0,-9724.0
100,1,13408.0,468.0,-9696.0
101,1,13372.0,352.0,-9728.0
102,1,13308.0,320.0,-9768.0
103,1,13188.0,284.0,-9696.0
104,1,13300.0,276.0,-9796.0
105,1,13284.0,244.0,-9700.0
106,1,13264.0,288.0,-9668.0
107,1,13352.0,228.0,-9732.0
108,1,13272.0,212.0,-9804.0
109,1,13280.0,252.0,-9644.0
110,1,13300.0,180.0,-9684.0
111,1,13284.0,236.0,-9732.0
112,1,13256.0,232.0,-9756.0
113,1,13212.0,192.0,-9780.0
114,1,13236.0,232.0,-9736.0
115,1,13264.0,220.0,-9848.0
116,1,13208.0,216.0,-9788.0
117,1,13168.0,308.0,-9880.0
118,1,13228.0,296.0,-9844.0
119,1,13296.0,212.0,-9780.0
120,1,13268.0,192.0,-9788.0
121,1,13328.0,316.0,-9696.0
122,1,13196.0,236.0,-9716.0
123,1,13172.0,180.0,-9740.0
124,1,13164.0,240.0,-9856.0
125,1,13120.0,248.0,-9848.0
126,1,13096.0,248.0,-9864.0
127,1,13100.0,160.0,-9836.0
128,1,13152.0,172.0,-9972.0
129,1,13172.0,212.0,-9884.0
130,1,13112.0,204.0,-9876.0
131,1,13152.0,224.0,-9888.0
132,1,13260.0,224.0,-9844.0
133,1,13072.0,276.0,-10024.0
134,1,13036.0,288.0,-9928.0
135,1,13244.0,208.0,-9844.0
136,1,13184.0,232.0,-9824.0
137,1,13140.0,276.0,-9876.0
138,1,13248.0,284.0,-9760.0
139,1,13412.0,260.0,-9636.0
140,1,13304.0,168.0,-9732.0
141,1,13328.0,188.0,-9864.0
142,1,13204.0,224.0,-9748.0
143,1,13112.0,264.0,-9820.0
144,1,13144.0,204.0,-9940.0
145,1,13080.0,208.0,-9876.0
146,1,13076.0,172.0,-9800.0
147,1,13100.0,200.0,-9904.0
148,1,13104.0,192.0,-9912.0
149,1,13124.0,68.0,-9880.0
150,1,13136.0,168.0,-10008.0
151,1,13140.0,92.0,-9852.0
152,1,13208.0,100.0,-9756.0
153,1,13204.0,24.0,-9800.0
154,1,13392.0,52.0,-9736.0
155,1,13408.0,96.0,-9688.0
156,1,13264.0,60.0,-9740.0
157,1,13244.0,132.0,-9784.0
158,1,13208.0,236.0,-9788.0
159,1,13424.0,168.0,-9748.0
160,1,13236.0,160.0,-9844.0
161,1,13148.0,236.0,-9852.0
162,1,13180.0,176.0,-9980.0
163,1,13008.0,320.0,-9984.0
164,1,13060.0,264.0,-9972.0
165,1,13156.0,152.0,-9944.0
166,1,13176.0,204.0,-9832.0
167,1,13248.0,236.0,-9772.0
168,1,13288.0,148.0,-9896.0
169,1,13252.0,68.0,-9724.0
170,1,13236.0,128.0,-9960.0
171,1,13160.0,100.0,-9916.0
172,1,13224.0,144.0,-9896.0
173,1,13148.0,108.0,-9788.0
174,1,13136.0,148.0,-9940.0
175,1,13276.0,132.0,-9936.0
176,1,13124.0,148.0,-9940.0
177,1,13228.0,136.0,-9896.0
178,1,13140.0,152.0,-10068.0
179,1,13032.0,172.0,-9936.0
180,1,13060.0,260.0,-10156.0
181,1,12888.0,292.0,-10224.0
182,1,13056.0,304.0,-10140.0
183,1,12952.0,224.0,-10048.0
184,1,13144.0,324.0,-9928.0
185,1,13160.0,324.0,-9916.0
186,1,13156.0,288.0,-9892.0
187,1,13280.0,356.0,-9952.0
188,1,13140.0,360.0,-9948.0
189,1,13004.0,364.0,-10112.0
190,1,13036.0,264.0,-10144.0
191,1,12924.0,328.0,-10160.0
192,1,12972.0,388.0,-10056.0
193,1,12940.0,456.0,-10152.0
194,1,12856.0,476.0,-10232.0
195,1,12916.0,396.0,-10268.0
196,1,12916.0,440.0,-10172.0
197,1,12936.0,568.0,-10068.0
198,1,12888.0,496.0,-10092.0
199,1,13184.0,420.0,-9992.0
200,1,13108.0,344.0,-10048.0
201,1,12996.0,428.0,-10124.0
202,1,12988.0,432.0,-10112.0
203,1,12996.0,372.0,-10136.0
204,1,13052.0,560.0,-10124.0
205,1,12956.0,508.0,-10112.0
206,1,13080.0,396.0,-10164.0
207,1,13092.0,428.0,-10024.0
208,1,13180.0,468.0,-9932.0
209,1,13224.0,376.0,-9972.0
210,1,13128.0,356.0,-10132.0
211,1,13020.0,304.0,-9988.0
212,1,13044.0,176.0,-10132.0
213,1,13004.0,232.0,-10104.0
214,1,12968.0,172.0,-10172.0
215,1,12948.0,228.0,-10080.0
216,1,13036.0,180.0,-10116.0
217,1,13004.0,264.0,-10104.0
218,1,13076.0,284.0,-10092.0
219,1,13044.0,452.0,-10008.0
220,1,13024.0,492.0,-10060.0
221,1,13016.0,464.0,-10076.0
222,1,13020.0,484.0,-10164.0
223,1,13128.0,468.0,-10028.0
224,1,13084.0,448.0,-9952.0
225,1,13068.0,396.0,-10100.0
226,1,13104.0,340.0,-10024.0
227,1,12976.0,292.0,-9992.0
228,1,12976.0,292.0,-10052.0
229,1,13016.0,268.0,-10196.0
230,1,13048.0,324.0,-10016.0
231,1,13016.0,232.0,-9972.0
232,1,13076.0,364.0,-9944.0
233,1,13104.0,396.0,-9956.0
234,1,13104.0,404.0,-9916.0
235,1,13144.0,316.0,-9924.0
236,1,13208.0,344.0,-9960.0
237,1,13124.0,376.0,-10088.0
238,1,13060.0,360.0,-10012.0
239,1,13056.0,292.0,-9984.0
240,1,13124.0,240.0,-9960.0
241,1,13204.0,280.0,-9944.0
242,1,13136.0,224.0,-10072.0
243,1,13012.0,260.0,-10088.0
244,1,13052.0,300.0,-10016.0
245,1,13080.0,292.0,-9944.0
246,1,13172.0,300.0,-9888.0
247,1,13112.0,288.0,-9808.0
248,1,13208.0,240.0,-9936.0
249,1,13196.0,316.0,-9912.0
250,1,13192.0,316.0,-9932.0
251,1,13060.0,344.0,-9820.0
252,1,13072.0,328.0,-10056.0
253,1,13164.0,352.0,-9936.0
254,1,13088.0,360.0,-9996.0
255,1,13204.0,448.0,-9964.0
256,1,13232.0,352.0,-9960.0
257,1,13128.0,372.0,-9872.0
