_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,x_mean_pos1,x_std_pos1,x_max_pos1,x_min_pos1,y_mean_pos1,y_std_pos1,y_max_pos1,y_min_pos1,z_mean_pos1,z_std_pos1,z_max_pos1,z_min_pos1,sma_pos1,x_energy_pos1,y_energy_pos1,z_energy_pos1,x_iqr_pos1,y_iqr_pos1,z_iqr_pos1,xy_corr_pos1,xz_corr_pos1,yz_corr_pos1
2,10398.99331103679,636.7953159628365,11924.0,8728.0,1220.2307692307693,712.5387554945701,3100.0,-1344.0,-12743.739130434782,516.8537831392468,-11364.0,-14364.0,16528.702151997782,108544231.10367893,1996250.1003344485,162669801.49832776,1136.0,735.0,866.0,-0.1869806078612744,0.9504903918502144,-0.0627921081160351,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991
3,12969.669749009248,807.7112754856339,15236.0,10760.0,-36.35402906208719,1327.7850998271635,4640.0,-5000.0,-10092.49141347424,1051.6031155767466,-7208.0,-11824.0,16538.716131428355,168863869.08322325,1762005.9392338176,102962791.18626156,1164.0,964.0,1368.0,-0.0235260979732353,0.9214243095152936,-0.0234575499637675,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991
6,12765.113725490197,3289.505788037965,29072.0,6396.0,815.0274509803921,2927.2235419587973,12488.0,-5844.0,-10411.811764705884,3428.9693631704918,-5840.0,-21284.0,16912.948421196957,173726542.05490196,9199304.90980392,120117545.9764706,3768.0,3326.0,4846.0,0.0786586382263734,-0.3949791540652496,-0.0215968896778423,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991
8,15474.915254237289,261.28189012735885,16056.0,13444.0,-1894.415254237288,442.9801290344091,956.0,-4544.0,-5328.025423728814,548.2665011642293,-4108.0,-8192.0,16492.39994697463,239541198.0338983,3784832.6779661016,28688132.6440678,216.0,412.0,601.0,0.1392128794730893,0.8153612111823455,-0.1527924489013519,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991
9,15071.435323383084,3140.794594572817,29164.0,10240.0,-1579.1592039800994,1482.5531752314264,3308.0,-7412.0,-6577.519900497512,1970.134950849066,-3272.0,-14340.0,16639.213662005932,237006618.6965174,4690340.815920398,47142785.940298505,3827.0,1986.0,2640.0,-0.0584038821667545,-0.5955810777418202,0.0952591691643883,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951603,-1588.0,-3500.0,-6243.5677655677655,290.7456767793016,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.4524488776596991
10,6096.20640569395,726.2846127897454,9740.0,3788.0,1230.9163701067616,1313.22874397072,5552.0,-3732.0,-15212.756227758007,259.4612013451661,-11160.0,-16288.0,16504.856457616483,37690987.23131672,3238957.6868327404,231495242.21352312,864.0,1521.0,292.0,-0.633548007055647,0.7011434561202771,-0.1981932593471437,14093.322865554464,141.593488166621,15084.0,13064.0,-1838.1589793915605,319.2967503425467,-272.0,-4304.0,-8315.038272816486,212.69538228588056,-6348.0,-10676.0,16471.251592772565,198641778.4337586,3480678.798822375,69185056.40824337,138.0,352.0,196.0,0.3129366989473828,0.7427018626953659,-0.0260716910592322
13,11669.371957156767,509.36820927904216,12500.0,13.0,865.1071080817916,862.9667029654204,3152.0,-844.0,-11561.276533592987,504.4980670656339,13.0,-13028.0,16479.196094371146,136433445.21226874,1492396.70593963,133917385.55890945,442.0,1456.0,438.0,0.1064149232821041,-0.0883836677736474,0.1399240336209578,14093.322865554464,141.593488166621,15084.0,13064.0,-1838.1589793915605,319.2967503425467,-272.0,-4304.0,-8315.038272816486,212.69538228588056,-6348.0,-10676.0,16471.251592772565,198641778.4337586,3480678.798822375,69185056.40824337,138.0,352.0,196.0,0.3129366989473828,0.7427018626953659,-0.0260716910592322
14,12002.647646219686,2301.407845497147,23460.0,8132.0,1024.3480741797432,1488.8996673432025,5840.0,-2820.0,-11312.720874940562,1956.0647044631285,-7228.0,-18632.0,16627.349118621998,149357510.05611032,3265057.0727532096,131802023.32667616,3002.0,2422.0,2828.0,0.0896438050936641,-0.7274820901192702,-0.0662624879650455,14093.322865554464,141.593488166621,15084.0,13064.0,-1838.1589793915605,319.2967503425467,-272.0,-4304.0,-8315.038272816486,212.69538228588056,-6348.0,-10676.0,16471.251592772565,198641778.4337586,3480678.798822375,69185056.40824337,138.0,352.0,196.0,0.3129366989473828,0.7427018626953659,-0.0260716910592322
16,15187.374301675978,288.7750601363524,16396.0,13548.0,-1392.9966480446928,446.4807139764914,1564.0,-3160.0,-6194.131843575419,485.0782962729364,-5004.0,-8432.0,16475.6587430607,230739636.04022345,2139561.9575418998,38602307.34301676,316.0,462.0,690.0,0.0526122556709646,0.682818520233514,-0.2264448857651706,14093.322865554464,141.593488166621,15084.0,13064.0,-1838.1589793915605,319.2967503425467,-272.0,-4304.0,-8315.038272816486,212.69538228588056,-6348.0,-10676.0,16471.251592772565,198641778.4337586,3480678.798822375,69185056.40824337,138.0,352.0,196.0,0.3129366989473828,0.7427018626953659,-0.0260716910592322
17,15046.406722689077,3399.854465092774,27084.0,8920.0,-545.5327731092437,1597.4791573783623,4180.0,-6240.0,-6689.328851540617,1891.9606410399967,-2764.0,-16268.0,16605.90424012216,237946890.01232493,2848116.006722689,48324630.22072829,5048.0,2468.0,2776.0,-0.0459475210045668,-0.5980553889786487,0.0343186461834887,14093.322865554464,141.593488166621,15084.0,13064.0,-1838.1589793915605,319.2967503425467,-272.0,-4304.0,-8315.038272816486,212.69538228588056,-6348.0,-10676.0,16471.251592772565,198641778.4337586,3480678.798822375,69185056.40824337,138.0,352.0,196.0,0.3129366989473828,0.7427018626953659,-0.0260716910592322
