_id,,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_max,y_max,z_max,x_min,y_min,z_min,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr,sma
1,149,13910.16,224.32,-8830.853333333333,399.083117157316,951.5022250455679,475.75687609908033,15044.0,1840.0,-7808.0,12836.0,-2016.0,-9904.0,193651818.56,955675.9466666667,78210315.2,550.0,1372.0,760.0,0.4520618298987735,0.8285560596970111,0.4223271907949656,16516.161492407227
1,187,13549.573333333334,259.25333333333333,-9356.72,589.8470575402483,1072.7771696965883,774.6989877365274,14592.0,3004.0,-8196.0,12000.0,-2016.0,-11392.0,183938857.06666666,1218063.1466666667,88148367.68,837.0,1472.0,1172.0,0.15304048231798778,0.9391916825515003,0.11208350306296368,16531.149941845015
1,225,13381.866666666667,269.68,-9596.613333333333,535.49203127176,1082.6570052114077,690.6891224148691,14268.0,3004.0,-8532.0,12000.0,-2016.0,-11392.0,179361107.2,1244873.4933333334,92572038.93333334,769.0,1516.0,1157.0,0.1851882933698325,0.9245814962855387,0.12487513692947864,16527.290752111956
1,263,13404.0,182.66666666666666,-9563.44,562.8826757563842,1013.0534350280955,730.373570898254,14708.0,3004.0,-8068.0,12000.0,-2016.0,-11392.0,179984052.90666667,1059644.3733333333,91992830.18666667,793.0,1278.0,1171.0,0.14418297955529158,0.9320866383101926,0.08970750719979065,16523.010186053758
1,301,13432.426666666666,604.2666666666667,-9541.28,542.4110415133116,649.7509950400661,726.0679593536682,14708.0,3004.0,-8068.0,12000.0,-1704.0,-11392.0,180724295.89333335,787314.56,91563198.72,625.0,462.0,1171.0,0.17284718714718836,0.953851955948484,0.17380469031729523,16524.428408179363
1,339,13658.906666666666,684.4,-9232.373333333333,309.3162857371436,430.4103468396952,403.06514852509326,14708.0,2332.0,-8068.0,12120.0,-724.0,-11056.0,186661407.89333335,653656.4266666666,85399178.88,286.0,376.0,383.0,0.21753584209084242,0.887204334240262,0.17021041148961633,16513.604121067532
1,377,13681.92,738.9333333333333,-9194.16,246.65818507940625,609.0390536647784,307.19674651054936,14708.0,2576.0,-8068.0,13020.0,-936.0,-9852.0,187255775.14666668,916951.04,84626947.94666667,280.0,556.0,320.0,0.027659373552882113,0.6630800474061931,0.10002908198324684,16515.899914371832
1,415,13595.226666666667,529.0933333333334,-9318.08,201.67495784609008,815.1424116612318,213.38302088029408,14180.0,2576.0,-8720.0,13020.0,-1208.0,-9852.0,184870860.90666667,944396.9066666666,86872147.2,279.0,1061.0,252.0,-0.031253778807244136,0.23325654276411995,0.08287867750688309,16512.26028228401
1,453,13603.893333333333,536.24,-9303.68,210.36498906001964,813.1452324564576,220.99581655165628,14180.0,2576.0,-8720.0,13020.0,-1208.0,-9852.0,185110167.25333333,948758.5066666667,86607300.69333333,295.0,978.0,275.0,-0.02154179521527795,0.26142821364753444,0.1408581960599057,16511.57698908552
1,491,13471.866666666667,380.9066666666667,-9468.186666666666,318.4212444057226,810.8203117556662,369.10828378072955,14180.0,2400.0,-8720.0,12672.0,-1208.0,-10256.0,181592583.57333332,802519.4666666667,89782799.68,478.0,1221.0,428.0,0.007784938569299746,0.6758159748596477,0.15324775098661053,16496.690356600244
1,529,13302.426666666666,126.48,-9700.453333333333,337.4849398450575,731.1589587315016,400.5512299596923,14180.0,2188.0,-8912.0,12672.0,-1208.0,-10532.0,177068451.30666667,550590.6133333333,94259236.16,553.0,1241.0,706.0,0.0889880096604426,0.8250074495502402,0.2225921737066822,16488.007845693493
1,567,13070.0,109.89333333333333,-10014.186666666666,405.1460312858398,626.2718807532572,500.92428418762944,13976.0,2188.0,-8952.0,12028.0,-956.0,-11232.0,170989043.30666667,404293.0133333333,100534859.73333333,550.0,877.0,684.0,0.30393043948199006,0.9223130769129513,0.40456171026125465,16489.78749861682
1,605,12929.146666666667,69.97333333333333,-10196.053333333333,348.864317209746,728.6923808820535,419.061551352808,13716.0,2188.0,-8872.0,12028.0,-1028.0,-11232.0,167284539.84,535888.8533333334,104135116.16,442.0,985.0,511.0,-0.25576451010814355,0.8456253760992808,-0.25409254554816096,16490.408535029634
1,643,13106.8,-81.33333333333333,-9964.453333333333,508.84921145659644,624.2518580046218,656.7536380984543,14076.0,1920.0,-8676.0,12028.0,-1028.0,-11232.0,172047133.76,396305.49333333335,99721655.57333334,819.0,470.0,1149.0,-0.35486127295360625,0.9483839673026365,-0.4003962137290977,16496.925259735915
1,681,13297.253333333334,53.86666666666667,-9725.493333333334,558.9600127220392,604.7346819519744,716.9743161059228,14336.0,1920.0,-8676.0,12028.0,-1028.0,-11232.0,177129382.50666666,368605.6533333333,95099272.74666667,919.0,504.0,1327.0,-0.30793592494554045,0.9510995212387061,-0.3595638040752096,16509.952003980627
1,719,13561.733333333334,94.21333333333334,-9379.573333333334,404.40703367880343,580.7710803941793,514.059015375559,14336.0,1920.0,-8636.0,12204.0,-1028.0,-10844.0,184084156.05333334,346171.2,88240652.58666667,360.0,451.0,486.0,-0.5100303251791204,0.9080042381701052,-0.6000992076618521,16512.190396155962
1,757,13644.426666666666,38.373333333333335,-9278.56,299.09522110673873,526.3526010406163,372.12507718059885,14336.0,1300.0,-8636.0,12492.0,-2196.0,-10628.0,186259837.01333332,278519.5733333333,86230152.74666667,298.0,378.0,404.0,0.23676809477919808,0.6290825581294984,0.07611724618305556,16514.502525177428
1,795,13531.706666666667,-26.906666666666666,-9438.773333333333,327.29064650382065,622.0166594410651,384.79943081501,14336.0,1300.0,-8636.0,12408.0,-2196.0,-10628.0,183214204.48,387628.69333333336,89238512.64,352.0,429.0,381.0,0.34076916903310284,0.6452950371245728,0.2509634835491817,16516.559700633446
1,833,13474.426666666666,-108.32,-9506.853333333333,315.99895245958567,627.6419395377164,379.4512069935857,14248.0,1300.0,-8636.0,12408.0,-2196.0,-10628.0,181660029.33333334,405667.62666666665,90524243.52,337.0,640.0,366.0,0.29037710691573254,0.5862698246606586,0.19763223921967582,16508.845418843543
1,871,13457.76,-131.38666666666666,-9530.88,298.6402893114055,612.5455932599812,345.18404598127074,14248.0,1300.0,-8684.0,12408.0,-2196.0,-10628.0,181200490.24,392474.56,90956825.6,319.0,534.0,364.0,0.2455275375859902,0.5366829844370293,0.14221832348560484,16507.663402113056
1,909,13452.053333333333,-353.44,-9529.946666666667,306.43445817263375,625.4307153740799,319.0367959272967,14252.0,768.0,-8596.0,12408.0,-2168.0,-10424.0,181051640.96,516083.41333333333,90921667.94666667,349.0,789.0,368.0,0.3061857115981751,0.445360419766084,0.16346276526516276,16505.68404060234
1,947,13439.28,-576.0,-9522.72,297.61221121900667,769.6440735820682,304.84875200663026,14252.0,768.0,-8596.0,12524.0,-2168.0,-10424.0,180702819.94666666,924128.0,90775128.96,326.0,1502.0,368.0,0.4463580137061241,0.43942268399578244,0.2889108000515995,16503.13818984616
1,985,13354.586666666666,-874.8266666666667,-9620.24,295.0334260535387,745.1976806786835,291.424539804046,14252.0,768.0,-8596.0,12524.0,-2168.0,-10204.0,178432029.76,1320641.28,92633945.92,370.0,1428.0,425.0,0.5302906076908095,0.4957443263092894,0.39254026891241706,16502.86787385789
1,1023,13253.706666666667,-1235.76,-9721.173333333334,237.0621731857606,546.9249269628632,219.9784458128164,14252.0,768.0,-8596.0,12524.0,-2168.0,-10204.0,175716938.88,1826229.6533333333,94549601.49333334,186.0,310.0,206.0,0.3434916586106351,0.19475592133997713,0.04766963771731667,16494.00620632626
1,1061,13230.933333333332,-1396.5333333333333,-9738.16,160.02710881458665,168.30554226036512,188.61947866891515,13664.0,-944.0,-9060.0,12496.0,-1776.0,-10592.0,175083205.54666665,1978632.1066666667,94867337.49333334,182.0,214.0,209.0,-0.2626655354619747,0.7240315925780921,-0.2272821570509257,16490.01483150318
1,1099,13267.093333333334,-1338.1866666666667,-9688.053333333333,399.36673783489886,363.41978274288937,511.19603267457205,16964.0,324.0,-4540.0,11588.0,-3592.0,-11352.0,176175259.30666667,1922817.4933333334,94119698.77333333,196.0,233.0,255.0,-0.6046533168965816,0.9076147921417875,-0.5734810680560064,16498.073527351324
1,1137,13383.44,-1288.64,-9539.466666666667,504.44023735886356,432.21330042777106,636.1039188336728,16964.0,324.0,-4540.0,11588.0,-3592.0,-11352.0,179370926.18666667,1847401.3866666667,91406052.48,297.0,294.0,351.0,-0.42276804052071065,0.9158954907804506,-0.3841988494232145,16510.008849125345
1,1175,13485.28,-1193.1466666666668,-9413.04,503.84385306031754,442.4073143859877,633.6706071769463,16964.0,324.0,-4540.0,11588.0,-3592.0,-11352.0,182106635.30666667,1619323.2,89006860.48,347.0,420.0,439.0,-0.41263441049788796,0.9075034520382343,-0.3724884140530969,16513.216539824887
1,1213,13428.453333333333,-808.96,-9467.333333333334,565.6574297419085,1134.7487644408343,745.8171953561334,16964.0,3244.0,-4540.0,11588.0,-3592.0,-11696.0,180643327.25333333,1942071.04,90186643.73333333,443.0,599.0,599.0,-0.4702157449015985,0.7567819431999411,-0.5010561584279418,16512.466071314866
1,1251,13394.32,-286.4266666666667,-9515.813333333334,462.95543802832685,1389.662090086011,619.3376826542656,15248.0,3960.0,-8148.0,11800.0,-2424.0,-11696.0,179622136.0,2013200.96,90934282.56,524.0,1313.0,647.0,-0.5459628788660122,0.6322317223440616,-0.5934896555814834,16506.565571393214
1,1289,13263.626666666667,-229.01333333333332,-9644.426666666666,468.9945777464336,1705.1365340705775,588.9715595472803,14300.0,3960.0,-8152.0,11800.0,-3880.0,-11696.0,176143748.26666668,2959937.7066666665,93361853.22666667,738.0,2096.0,659.0,-0.16796817196438682,0.4779369054219167,-0.34108085555650725,16502.401171727935
1,1327,13208.533333333333,132.93333333333334,-9716.08,495.87733250158664,1767.1817362367935,638.0679955407052,14300.0,3960.0,-8152.0,11800.0,-3880.0,-11696.0,174711247.14666668,3140602.56,94809341.33333333,789.0,2534.0,922.0,0.12602210741588102,0.5253557119349175,-0.030275925586114447,16508.156946775598
1,1365,13332.053333333333,-0.6133333333333333,-9610.026666666667,503.073219146301,1566.8270263462043,557.7242801082108,14916.0,3960.0,-8560.0,11800.0,-3880.0,-11180.0,177996728.74666667,2454947.3066666666,92663668.90666667,704.0,2058.0,728.0,0.21703187062447726,0.7115020603406088,0.10840130454464915,16523.643953501818
1,1403,13331.626666666667,-116.05333333333333,-9618.986666666666,653.2624745247673,1469.74922027157,722.2846990549425,15096.0,1924.0,-8540.0,10796.0,-3880.0,-12736.0,178159021.44,2173631.1466666665,93046599.68,766.0,2166.0,801.0,0.5122218753802503,0.6725217934978653,0.4416647269672468,16529.57408367983
1,1441,13287.92,187.09333333333333,-9664.293333333333,1013.9660975266054,1341.289500675459,860.5970140676892,17584.0,3552.0,-8244.0,9788.0,-2404.0,-12736.0,177596945.17333335,1834061.44,94139192.85333334,923.0,2251.0,1050.0,0.30668351644186337,0.32925183436982913,0.4051172385805737,16521.43067750996
