_id,x_mean,x_std,x_max,x_min,y_mean,y_std,y_max,y_min,z_mean,z_std,z_max,z_min,sma,x_energy,y_energy,z_energy,x_iqr,y_iqr,z_iqr,xy_corr,xz_corr,yz_corr
1,13110.86151882578,1489.0740334111417,17584.0,628.0,-231.0453095086152,1249.3689594336463,3960.0,-5076.0,-9781.608168474793,1204.0702139354257,-4540.0,-18556.0,16514.11442519711,174110616.21952775,1613308.6100829612,97128718.24377792,684.0,1788.0,808.0,0.38940501595575766,0.8956579403389049,0.3679686846560443
2,10398.99331103679,636.7953159628365,11924.0,8728.0,1220.2307692307693,712.5387554945701,3100.0,-1344.0,-12743.739130434782,516.8537831392468,-11364.0,-14364.0,16528.702151997782,108544231.10367893,1996250.1003344483,162669801.49832776,1136.0,735.0,866.0,-0.1869806078612744,0.9504903918502143,-0.06279210811603517
3,12969.669749009247,807.7112754856339,15236.0,10760.0,-36.354029062087186,1327.7850998271635,4640.0,-5000.0,-10092.491413474241,1051.6031155767466,-7208.0,-11824.0,16538.716131428355,168863869.08322325,1762005.9392338176,102962791.18626156,1164.0,964.0,1368.0,-0.023526097973235387,0.9214243095152935,-0.0234575499637675
6,12765.113725490197,3289.505788037965,29072.0,6396.0,815.0274509803921,2927.2235419587973,12488.0,-5844.0,-10411.811764705883,3428.9693631704913,-5840.0,-21284.0,16912.948421196957,173726542.05490196,9199304.909803921,120117545.97647059,3768.0,3326.0,4846.0,0.07865863822637344,-0.39497915406524964,-0.021596889677842342
7,15146.131868131868,160.38577750829157,16424.0,12984.0,-1865.6117216117216,122.33108359951605,-1588.0,-3500.0,-6243.5677655677655,290.74567677930156,-5008.0,-7132.0,16491.939760522124,229431010.6080586,3495458.285714286,39066594.08058608,196.0,132.0,485.0,-0.2033833995211394,0.7509250972497991,-0.45244887765969916
8,15474.915254237289,261.28189012735885,16056.0,13444.0,-1894.415254237288,442.9801290344091,956.0,-4544.0,-5328.025423728814,548.2665011642293,-4108.0,-8192.0,16492.39994697463,239541198.0338983,3784832.6779661016,28688132.644067798,216.0,412.0,601.0,0.1392128794730893,0.8153612111823455,-0.15279244890135196
9,15071.435323383084,3140.7945945728175,29164.0,10240.0,-1579.1592039800994,1482.5531752314264,3308.0,-7412.0,-6577.519900497512,1970.134950849066,-3272.0,-14340.0,16639.213662005932,237006618.6965174,4690340.815920398,47142785.940298505,3827.0,1986.0,2640.0,-0.05840388216675457,-0.5955810777418202,0.09525916916438835
10,6096.20640569395,726.2846127897454,9740.0,3788.0,1230.9163701067616,1313.22874397072,5552.0,-3732.0,-15212.756227758007,259.4612013451661,-11160.0,-16288.0,16504.856457616483,37690987.23131672,3238957.6868327404,231495242.21352312,864.0,1521.0,292.0,-0.633548007055647,0.7011434561202771,-0.1981932593471437
13,11669.371957156767,509.36820927904216,12500.0,13.0,865.1071080817916,862.9667029654204,3152.0,-844.0,-11561.276533592989,504.4980670656339,13.0,-13028.0,16479.196094371146,136433445.21226874,1492396.70593963,133917385.55890945,442.0,1456.0,438.0,0.10641492328210411,-0.08838366777364746,0.13992403362095787
14,12002.647646219686,2301.407845497147,23460.0,8132.0,1024.3480741797432,1488.8996673432023,5840.0,-2820.0,-11312.720874940562,1956.0647044631285,-7228.0,-18632.0,16627.349118621998,149357510.05611032,3265057.0727532096,131802023.32667617,3002.0,2422.0,2828.0,0.08964380509366413,-0.7274820901192702,-0.06626248796504552
