data_id,_id,x,y,z
1,2,7988,200,-14512
2,2,8004,496,-14456
3,2,7784,392,-14600
4,2,7924,596,-14436
5,2,7924,596,-14436
6,2,7836,424,-14604
7,2,7836,424,-14604
8,2,8240,760,-14584
9,2,8240,760,-14584
10,2,8012,836,-14544
11,2,8012,836,-14544
12,2,8200,572,-14328
13,2,8192,536,-14384
14,2,8172,228,-14364
15,2,8172,228,-14364
16,2,8212,108,-14180
17,2,8212,108,-14180
18,2,8564,4,-14012
19,2,8564,4,-14012
20,2,8404,-36,-14064
21,2,8364,-124,-14108
22,2,8364,-124,-14108
23,2,8672,24,-13824
24,2,8640,-28,-13904
25,2,8676,12,-13960
26,2,8676,12,-13960
27,2,8704,-108,-13948
28,2,8660,-124,-14032
29,2,8868,-64,-13868
30,2,8764,-284,-13896
31,2,8704,-212,-13936
32,2,8676,-576,-13904
33,2,8728,-600,-13848
34,2,8640,-588,-13892
35,2,8728,-576,-13736
36,2,8728,-576,-13736
37,2,8728,-576,-13736
38,2,8740,-572,-13756
39,2,8900,-556,-13888
40,2,8900,-556,-13888
41,2,8800,-396,-13988
42,2,8684,-216,-14020
43,2,8684,-216,-14020
44,2,8684,-216,-14020
45,2,8592,-216,-13964
46,2,8592,-216,-13964
47,2,8620,-292,-13980
48,2,8620,-292,-13980
49,2,8552,-164,-14116
50,2,8552,-164,-14116
51,2,8552,-164,-14116
52,2,8552,-164,-14116
53,2,8552,-164,-14116
54,2,8552,-164,-14116
55,2,8588,-24,-14064
56,2,8524,-96,-14152
57,2,8524,-96,-14152
58,2,8596,-124,-14020
59,2,8596,-124,-14020
60,2,8596,-124,-14020
61,2,8712,-132,-14028
62,2,8712,-132,-14028
63,2,8780,-92,-13956
64,2,8780,-92,-13956
65,2,8780,-92,-13956
66,2,8644,-120,-14028
67,2,8644,-120,-14028
68,2,8644,-120,-14028
69,2,8772,-80,-14068
70,2,8772,-80,-14068
71,2,8744,-124,-13832
72,2,8744,-124,-13832
73,2,8716,-72,-13936
74,2,8752,-232,-13928
75,2,8684,-280,-14012
76,2,8640,-128,-14080
77,2,8652,-92,-14168
78,2,8680,-224,-13964
79,2,8588,-236,-14016
80,2,8588,-236,-14016
81,2,8624,-180,-13908
82,2,8624,-180,-13908
83,2,8524,-192,-14160
84,2,8564,-200,-14044
85,2,8600,-200,-13988
86,2,8616,-276,-13968
87,2,8660,-208,-13984
88,2,8652,-208,-14124
89,2,8580,-172,-14036
90,2,8600,-148,-14108
91,2,8660,-216,-14004
92,2,8600,-232,-13952
93,2,8744,-168,-13888
94,2,8720,-200,-14040
95,2,8624,-248,-14012
96,2,8784,-244,-14068
97,2,8692,-264,-14052
98,2,8680,-144,-14060
99,2,8636,-160,-14100
100,2,8588,-128,-14032
101,2,8684,-216,-14052
102,2,8716,-212,-13832
103,2,8616,-204,-13968
104,2,8616,-204,-13968
105,2,8628,-260,-13992
106,2,8628,-260,-13992
107,2,8624,-300,-13988
108,2,8624,-300,-13988
109,2,8696,-348,-13992
110,2,8696,-348,-13992
111,2,8716,-316,-13956
112,2,8716,-316,-13956
113,2,8644,-540,-14060
114,2,8740,-456,-14080
115,2,8620,-440,-14184
116,2,8716,-320,-14020
117,2,8484,-328,-13976
118,2,8484,-328,-13976
119,2,8732,224,-13716
120,2,8732,224,-13716
121,2,8680,332,-14004
122,2,8680,332,-14004
123,2,8620,-68,-14232
124,2,8640,-64,-14172
125,2,8980,8,-13804
126,2,8980,8,-13804
127,2,8816,236,-13932
128,2,8816,236,-13932
129,2,8820,588,-14040
130,2,8820,588,-14040
131,2,9072,716,-13812
132,2,9072,716,-13812
133,2,9020,780,-13768
134,2,9020,780,-13768
135,2,9108,828,-13676
136,2,9108,828,-13676
137,2,9004,804,-13700
138,2,9192,692,-13764
139,2,9332,852,-13696
140,2,9332,852,-13696
141,2,9220,708,-13580
142,2,9220,708,-13580
143,2,8876,640,-13948
144,2,9012,772,-13844
145,2,9012,772,-13844
146,2,9080,324,-13856
147,2,9080,324,-13856
148,2,9080,324,-13856
149,2,9080,992,-13716
150,2,9080,992,-13716
151,2,8956,912,-13868
152,2,9152,576,-13712
153,2,9324,1024,-13500
154,2,9496,896,-13352
155,2,9488,424,-13640
156,2,9488,424,-13640
157,2,9156,544,-13752
158,2,9156,544,-13752
159,2,8812,204,-13800
160,2,8764,8,-13924
161,2,8696,156,-13876
162,2,8764,292,-13888
163,2,8768,400,-13864
164,2,8984,968,-13692
165,2,8984,1144,-13852
166,2,9440,1284,-13856
167,2,9272,1188,-13772
168,2,9320,712,-13704
169,2,8880,708,-13940
170,2,8828,652,-13848
171,2,9076,404,-13812
172,2,8956,392,-13760
173,2,8784,88,-13968
174,2,8724,56,-13816
175,2,8428,24,-13896
176,2,8372,-200,-13952
177,2,8304,-80,-14168
178,2,8224,60,-14348
179,2,8112,376,-14704
180,2,7944,744,-14640
181,2,7972,816,-14400
182,2,7972,816,-14400
183,2,7896,296,-14452
184,2,7896,296,-14452
185,2,8060,64,-14572
186,2,6756,-2948,-15336
187,2,6756,-2948,-15336
188,2,7556,1636,-14320
189,2,7556,1636,-14320
