_id,height,mass,position,is_valid,age,sex
47,187,72,1,0,17,1
48,187,72,2,0,17,1
49,187,72,3,0,17,1
50,187,72,1,1,17,1
51,187,72,2,1,17,1
52,187,72,3,1,17,1
56,175,62,1,0,19,1
57,175,62,2,0,19,1
59,175,62,3,0,19,1
60,175,62,1,1,19,1
61,175,62,2,1,19,1
62,175,62,3,1,19,1
63,178,58,1,0,18,1
64,178,58,2,0,18,1
66,178,58,3,0,18,1
67,178,58,1,1,18,1
68,178,58,2,1,18,1
69,178,58,3,1,18,1
70,181,74,1,0,20,1
71,181,74,2,0,20,1
72,181,74,3,0,20,1
74,181,74,1,1,20,1
75,181,74,2,1,20,1
76,181,74,3,1,20,1
77,182,70,1,0,21,1
78,182,70,2,0,21,1
79,182,70,3,0,21,1
80,182,70,1,1,21,1
81,182,70,2,1,21,1
82,182,70,3,1,21,1
83,189,70,1,0,22,1
84,189,70,2,0,22,1
85,189,70,3,0,22,1
86,189,70,1,1,22,0
87,189,70,2,1,22,0
88,189,70,3,1,22,0
89,168,52,1,0,20,0
90,168,52,2,0,20,0
91,168,52,3,0,20,0
92,168,52,1,1,20,0
93,168,52,2,1,20,0
96,168,52,3,1,20,0
