,_id,x,y,z
155354,97,13484,72,-9932
155355,97,13440,512,-9396
155356,97,13144,444,-10340
155357,97,12588,176,-10600
155358,97,12752,128,-10996
155359,97,12148,356,-11128
155360,97,11928,736,-11464
155361,97,11916,1052,-11540
155362,97,11988,980,-11284
155363,97,11864,912,-11456
155364,97,11984,1008,-11460
155365,97,12056,972,-11456
155366,97,12096,944,-11332
155367,97,12088,776,-11136
155368,97,12188,752,-11300
155369,97,12116,856,-11360
155370,97,12228,760,-11180
155371,97,12156,824,-11180
155372,97,11956,696,-11308
155373,97,12136,640,-11404
155374,97,12212,652,-11100
155375,97,12112,660,-11232
155376,97,12220,568,-11240
155377,97,11916,568,-11324
155378,97,12032,620,-11400
155379,97,12296,696,-11276
155380,97,12260,784,-11188
155381,97,12176,720,-11284
155382,97,12140,680,-11500
155383,97,11796,848,-11332
155384,97,12208,892,-11292
155385,97,12188,868,-11248
155386,97,12176,796,-11220
155387,97,12092,788,-10980
155388,97,12252,692,-11080
155389,97,12324,716,-11108
155390,97,12316,740,-11164
155391,97,12040,680,-11140
155392,97,12376,808,-11172
155393,97,12436,692,-11320
155394,97,12172,860,-11240
155395,97,12160,668,-11412
155396,97,12312,916,-11060
155397,97,12004,708,-10836
155398,97,12280,788,-10904
155399,97,12280,352,-11328
155400,97,12300,504,-11324
155401,97,12232,572,-11028
155402,97,12064,492,-11308
155403,97,11940,356,-11336
155404,97,12048,588,-11452
155405,97,12000,620,-11336
155406,97,12124,720,-11092
155407,97,12184,416,-11228
155408,97,12384,532,-11008
155409,97,12128,480,-11416
155410,97,12260,576,-11140
155411,97,12072,480,-11296
155412,97,12028,368,-11428
155413,97,11936,424,-11384
155414,97,11940,556,-11516
155415,97,12204,644,-11224
155416,97,12028,520,-11456
155417,97,11964,560,-11328
155418,97,12184,680,-11212
155419,97,12048,748,-11180
155420,97,12184,572,-11236
155421,97,12100,676,-11284
155422,97,12072,700,-11308
155423,97,12028,696,-11328
155424,97,12056,588,-11296
155425,97,12220,644,-11332
155426,97,11996,540,-11412
155427,97,12088,500,-11516
155428,97,11872,464,-11412
155429,97,11944,464,-11356
155430,97,11884,416,-11312
155431,97,12036,540,-11464
155432,97,12020,560,-11312
155433,97,11996,572,-11484
155434,97,11960,680,-11308
155435,97,12252,900,-11288
155436,97,12020,672,-11428
155437,97,12144,824,-11492
155438,97,12096,852,-11384
155439,97,12052,1000,-11324
155440,97,12088,540,-11300
155441,97,12000,548,-11356
155442,97,12092,608,-11376
155443,97,12172,644,-11208
155444,97,12152,744,-11180
155445,97,12120,724,-11164
155446,97,12060,584,-11280
155447,97,12140,632,-11296
155448,97,12148,688,-11280
155449,97,12112,672,-11212
155450,97,12300,552,-11360
155451,97,12124,620,-11256
155452,97,12208,664,-11180
155453,97,12296,736,-11064
155454,97,12172,692,-11328
155455,97,12208,732,-11148
155456,97,12336,844,-11144
155457,97,12292,588,-11164
155458,97,12260,636,-11100
155459,97,12280,636,-11196
155460,97,12248,628,-11116
155461,97,12328,560,-11112
155462,97,12184,572,-11176
155463,97,12156,592,-11112
155464,97,12108,592,-11212
155465,97,12228,648,-11228
155466,97,12260,592,-11152
155467,97,12208,564,-11196
155468,97,12244,576,-11268
155469,97,12248,568,-11172
155470,97,12300,516,-11160
155471,97,12260,612,-11076
155472,97,12260,420,-11160
155473,97,12224,704,-11228
155474,97,12248,600,-11152
155475,97,12260,580,-11132
155476,97,12268,656,-11172
155477,97,12272,576,-11128
155478,97,12260,588,-10996
155479,97,12284,648,-11156
155480,97,12236,564,-11180
155481,97,12268,572,-11112
155482,97,12308,680,-11036
155483,97,12408,636,-11136
155484,97,12276,520,-11208
155485,97,12244,512,-11028
155486,97,12248,628,-11188
155487,97,12148,752,-11160
155488,97,12212,596,-11292
155489,97,12348,596,-11156
155490,97,12496,484,-11280
155491,97,12364,728,-11192
155492,97,12264,716,-11132
155493,97,12260,736,-11176
155494,97,12364,688,-11100
155495,97,12076,456,-11116
155496,97,12496,376,-11172
155497,97,12300,560,-11076
155498,97,12244,560,-11076
155499,97,12344,568,-10980
155500,97,12388,660,-11020
155501,97,12296,692,-10996
155502,97,12428,656,-11184
155503,97,12368,600,-10972
155504,97,12304,572,-11144
155505,97,12244,672,-11144
155506,97,12328,716,-11132
155507,97,12276,648,-11128
155508,97,12188,600,-11180
155509,97,12340,604,-11044
155510,97,12272,552,-11012
155511,97,12232,652,-11168
155512,97,12304,628,-11176
155513,97,12252,636,-11048
155514,97,12348,540,-11152
155515,97,12400,616,-11088
155516,97,12344,580,-11016
155517,97,12288,548,-11036
155518,97,12380,576,-11136
155519,97,12328,572,-11092
155520,97,12268,556,-11024
155521,97,12248,620,-11124
155522,97,12396,660,-11048
155523,97,12256,492,-11112
155524,97,12264,516,-11064
155525,97,12296,544,-11140
155526,97,12460,600,-11096
155527,97,12260,540,-11032
155528,97,12248,480,-11108
155529,97,12344,568,-11020
155530,97,12220,480,-10992
155531,97,12360,500,-11052
155532,97,12340,636,-11032
155533,97,12216,700,-11224
155534,97,12328,492,-10972
155535,97,12332,696,-11208
155536,97,12268,760,-11300
155537,97,12292,656,-11056
155538,97,12328,732,-10972
155539,97,12292,680,-11060
155540,97,12308,604,-11112
155541,97,12412,544,-11172
155542,97,12312,444,-11084
155543,97,12264,512,-11012
155544,97,12200,636,-11172
155545,97,12456,692,-11224
155546,97,12156,872,-11132
155547,97,12224,744,-11244
155548,97,12304,660,-11000
155549,97,12316,612,-11020
155550,97,12236,728,-11104
155551,97,12200,588,-11108
155552,97,12284,516,-11080
155553,97,12284,620,-11260
155554,97,12280,612,-11092
155555,97,12316,484,-11208
155556,97,12292,548,-11072
155557,97,12292,684,-11116
155558,97,12204,784,-11340
155559,97,12176,532,-11252
155560,97,12180,576,-11216
155561,97,12116,636,-11068
155562,97,12192,780,-11228
155563,97,12080,608,-11428
155564,97,12196,624,-11168
155565,97,12424,836,-10984
155566,97,12352,740,-11024
155567,97,12364,688,-10988
155568,97,12564,636,-11004
155569,97,12328,556,-11152
155570,97,11964,612,-11176
155571,97,12396,524,-11064
155572,97,12344,704,-10900
155573,97,12112,664,-11180
155574,97,12024,556,-11232
155575,97,12104,760,-11380
155576,97,12180,856,-11348
155577,97,12096,768,-11500
155578,97,12288,704,-11088
155579,97,12304,640,-11132
155580,97,12388,604,-11172
155581,97,12352,508,-11048
155582,97,12392,636,-10972
155583,97,12364,556,-11020
155584,97,12324,688,-11048
155585,97,12220,556,-11108
155586,97,12096,548,-11216
155587,97,12220,436,-11384
155588,97,12252,704,-10996
155589,97,12072,700,-11260
155590,97,12120,604,-11316
155591,97,12308,636,-11184
155592,97,12244,704,-11336
155593,97,12340,724,-11192
155594,97,12444,772,-10976
155595,97,12024,560,-11336
155596,97,12368,516,-11084
155597,97,12484,844,-10996
155598,97,12220,624,-11128
155599,97,12204,632,-11224
155600,97,12164,624,-11020
155601,97,12076,704,-11360
155602,97,12112,696,-11316
155603,97,12232,880,-11108
155604,97,12324,812,-11052
155605,97,12100,536,-11040
155606,97,12136,432,-11176
155607,97,12268,648,-11084
155608,97,12312,880,-11132
155609,97,12444,600,-10972
155610,97,12640,716,-10556
155611,97,12204,552,-11288
155612,97,12316,1568,-10824
155613,97,12224,1632,-11212
155614,97,12364,1180,-10880
155615,97,12428,1468,-10936
155616,97,12576,996,-10680
155617,97,12244,848,-11024
155618,97,12504,872,-10864
155619,97,12472,740,-10740
155620,97,12264,932,-11324
155621,97,12480,856,-10772
155622,97,12608,-76,-10852
155623,97,12356,168,-11032
155624,97,12324,628,-11096
155625,97,12440,788,-10832
155626,97,12380,716,-11036
155627,97,12096,776,-11196
155628,97,12232,788,-11104
155629,97,12368,664,-11108
155630,97,12372,1024,-10860
155631,97,12648,460,-10708
155632,97,12608,340,-10884
155633,97,12256,280,-11048
155634,97,12336,344,-11104
155635,97,12552,416,-10852
155636,97,12464,960,-10688
155637,97,12172,1076,-10876
155638,97,12272,1180,-10900
155639,97,11932,888,-11572
155640,97,12168,780,-11344
155641,97,12236,544,-11064
155642,97,12332,592,-11024
155643,97,12288,816,-11264
155644,97,12272,748,-11044
155645,97,12168,736,-11104
155646,97,12176,1012,-11036
155647,97,12232,972,-11196
155648,97,12380,1100,-11100
155649,97,12164,1000,-11304
155650,97,12176,996,-11212
155651,97,12292,864,-11208
155652,97,12360,888,-10976
155653,97,12316,824,-11056
155654,97,12304,740,-11180
155655,97,12364,812,-11012
155656,97,12308,844,-10940
155657,97,12412,700,-10916
155658,97,12328,680,-11060
155659,97,12412,816,-10672
155660,97,12396,792,-11140
155661,97,12232,576,-11368
155662,97,12380,656,-11176
155663,97,12304,752,-10900
155664,97,12452,1164,-10624
155665,97,12412,652,-10936
155666,97,12608,844,-10880
155667,97,12276,1140,-11272
155668,97,12528,844,-10880
155669,97,12364,1024,-11040
155670,97,12668,1208,-10600
155671,97,12532,980,-11040
155672,97,12576,1500,-11028
155673,97,12528,1716,-10504
155674,97,12684,1476,-10868
155675,97,12712,1256,-10492
155676,97,12796,1168,-10536
155677,97,12820,1064,-10592
155678,97,12688,1180,-10540
155679,97,12740,1192,-10500
155680,97,12676,1140,-10524
155681,97,12572,1192,-10640
155682,97,12692,1176,-10536
155683,97,12780,1160,-10436
155684,97,12724,1240,-10352
155685,97,12524,1148,-10716
155686,97,12708,1000,-10560
155687,97,12440,1208,-10680
155688,97,12956,1100,-10384
155689,97,12272,1228,-11304
155690,97,12792,1408,-10484
155691,97,12764,1472,-10648
155692,97,12752,1008,-10480
155693,97,12624,1080,-10660
155694,97,12636,1188,-10668
155695,97,12516,1092,-10828
155696,97,12376,1116,-10980
155697,97,12244,1136,-10832
155698,97,12556,1252,-10816
155699,97,12560,1244,-10724
155700,97,12528,1152,-10868
155701,97,12472,1236,-10960
155702,97,12348,1540,-11004
155703,97,12480,1640,-10816
155704,97,12656,948,-10520
155705,97,12688,444,-10600
155706,97,12652,304,-10640
155707,97,12404,728,-11040
155708,97,12400,916,-10796
155709,97,12420,1028,-10836
155710,97,12368,928,-11004
155711,97,12424,1016,-10916
155712,97,12352,1140,-10832
155713,97,12460,960,-10928
155714,97,12372,924,-11052
155715,97,12340,916,-11088
155716,97,12404,876,-11012
155717,97,12328,1120,-10896
155718,97,12524,1108,-11032
155719,97,12492,960,-10828
155720,97,12416,936,-10904
155721,97,12468,884,-10812
155722,97,12424,932,-10876
155723,97,12384,1096,-10952
155724,97,12432,1016,-10888
155725,97,12440,980,-10924
155726,97,12460,1000,-10836
155727,97,12604,880,-10888
155728,97,12508,900,-10884
155729,97,12424,1020,-10984
155730,97,12416,1024,-10972
155731,97,12420,1056,-10872
155732,97,12400,964,-10920
155733,97,12408,980,-10904
155734,97,12448,924,-10860
155735,97,12380,964,-10868
155736,97,12448,924,-10760
155737,97,12484,872,-10808
155738,97,12440,884,-10976
155739,97,12512,724,-11084
155740,97,12416,1032,-10984
155741,97,12460,1064,-10792
155742,97,12400,964,-10924
155743,97,12412,940,-10872
155744,97,12472,832,-10836
155745,97,12412,896,-10892
155746,97,12368,976,-10796
155747,97,12476,960,-10896
155748,97,12392,1008,-10900
155749,97,12428,940,-10848
155750,97,12396,1024,-10956
155751,97,12404,964,-10952
155752,97,12440,1056,-10844
155753,97,12484,1008,-10912
155754,97,12488,940,-10916
155755,97,12504,812,-10796
155756,97,12432,948,-10984
155757,97,12576,1396,-10564
155758,97,12652,1432,-10400
155759,97,12672,1516,-10548
155760,97,12608,1504,-10648
