data_id,_id,x,y,z
1,1,14252.0,44.0,-8724.0
2,1,14092.0,128.0,-8680.0
3,1,13880.0,204.0,-8848.0
4,1,14600.0,336.0,-8340.0
5,1,14572.0,212.0,-8632.0
6,1,13984.0,-160.0,-8532.0
7,1,14048.0,52.0,-8500.0
8,1,14376.0,408.0,-8000.0
9,1,14080.0,520.0,-7868.0
10,1,14324.0,320.0,-8036.0
11,1,14620.0,180.0,-8008.0
12,1,15052.0,-32.0,-7796.0
13,1,15056.0,-76.0,-8024.0
14,1,14040.0,424.0,-7840.0
15,1,14164.0,376.0,-8000.0
16,1,14584.0,304.0,-7996.0
17,1,14668.0,60.0,-7772.0
18,1,14628.0,-192.0,-7932.0
19,1,14156.0,340.0,-7900.0
20,1,15008.0,124.0,-7772.0
21,1,15472.0,-280.0,-7612.0
22,1,15300.0,112.0,-7788.0
23,1,14592.0,-36.0,-7708.0
24,1,14416.0,12.0,-7884.0
25,1,13948.0,416.0,-7748.0
26,1,14436.0,232.0,-8016.0
27,1,14652.0,-20.0,-8268.0
28,1,14548.0,-708.0,-9056.0
29,1,13832.0,-1172.0,-9188.0
30,1,13796.0,-828.0,-8272.0
31,1,14100.0,-212.0,-8084.0
32,1,14076.0,-216.0,-8008.0
33,1,14396.0,-224.0,-7996.0
34,1,14408.0,-496.0,-8156.0
35,1,14412.0,-828.0,-8424.0
36,1,14228.0,-1004.0,-8520.0
37,1,14020.0,-892.0,-8712.0
38,1,14012.0,-796.0,-8820.0
39,1,14040.0,-872.0,-8616.0
40,1,14068.0,-820.0,-8476.0
41,1,14492.0,-564.0,-8072.0
42,1,14584.0,-808.0,-8016.0
43,1,14240.0,-672.0,-8376.0
44,1,14168.0,-52.0,-8828.0
45,1,14192.0,268.0,-8812.0
46,1,14056.0,108.0,-8904.0
47,1,13976.0,-68.0,-8828.0
48,1,14032.0,-448.0,-8988.0
49,1,13808.0,-548.0,-8912.0
50,1,13972.0,-556.0,-8904.0
51,1,14176.0,-612.0,-8796.0
52,1,14096.0,-472.0,-8848.0
53,1,14048.0,-432.0,-8824.0
54,1,13924.0,-472.0,-8792.0
55,1,13984.0,-460.0,-8964.0
56,1,13824.0,-412.0,-9080.0
57,1,13792.0,-344.0,-9188.0
58,1,13828.0,-236.0,-9184.0
59,1,13768.0,-220.0,-9072.0
60,1,13752.0,-264.0,-9168.0
61,1,13828.0,-372.0,-9188.0
62,1,13696.0,-364.0,-9288.0
63,1,13836.0,-312.0,-9276.0
64,1,13912.0,-204.0,-9104.0
65,1,13884.0,-188.0,-8980.0
66,1,13808.0,-216.0,-9112.0
67,1,13784.0,-168.0,-9040.0
68,1,13860.0,-272.0,-9004.0
69,1,14052.0,-280.0,-9108.0
70,1,14088.0,-208.0,-8900.0
71,1,14016.0,-104.0,-8972.0
72,1,13896.0,-56.0,-9180.0
73,1,13784.0,-212.0,-9276.0
74,1,13708.0,-280.0,-9316.0
75,1,13720.0,-320.0,-9312.0
