_id,height,mass,position,is_valid,age,sex
10,176,70,1,0,21,1
11,176,70,2,0,21,1
12,176,70,3,0,21,1
13,170,62,1,0,20,1
14,170,62,2,0,20,1
15,170,62,3,0,20,1
18,170,62,1,1,20,1
19,170,62,2,1,20,1
21,170,62,3,1,20,1
23,176,70,3,0,21,1
25,176,70,1,1,21,1
26,176,70,2,1,21,1
27,176,70,3,1,21,1
30,182,65,1,0,20,1
31,182,65,2,0,20,1
36,182,65,3,0,20,1
37,182,65,1,1,20,1
38,182,65,2,1,20,1
39,182,65,3,1,20,1
40,170,60,1,0,20,1
41,170,60,2,0,20,1
42,170,60,3,0,20,1
44,170,60,1,1,20,0
45,170,60,2,1,20,0
46,170,60,3,1,20,0
