data_id,_id,x,y,z
0,1,13916,-1172,-8424
1,1,13816,-1156,-8304
2,1,14188,-1256,-8012
3,1,14128,-1360,-8100
4,1,14228,-832,-7976
5,1,14340,-348,-7808
6,1,15044,-1036,-8636
7,1,14208,12,-8344
8,1,13992,616,-8244
9,1,14004,208,-8496
10,1,13252,-220,-9220
11,1,14308,328,-8616
12,1,14296,320,-8468
13,1,14368,-264,-8640
14,1,14592,224,-8652
15,1,13896,432,-8740
16,1,13948,-72,-8752
17,1,14140,324,-8684
18,1,13840,132,-8712
19,1,14544,568,-8012
20,1,14460,648,-8144
21,1,13572,488,-8316
22,1,14192,668,-8236
23,1,14720,468,-7832
24,1,14640,708,-8240
25,1,13816,860,-8592
26,1,13804,972,-8920
27,1,13920,1052,-8784
28,1,13968,1840,-8612
29,1,14636,1348,-8064
30,1,14588,1480,-8088
31,1,14232,1400,-8300
32,1,14408,1176,-8128
33,1,14396,1004,-8260
34,1,13996,812,-8488
35,1,14232,620,-8348
36,1,14204,868,-8428
37,1,14012,956,-8712
38,1,13964,472,-8296
39,1,14212,196,-8208
40,1,14592,-156,-8252
41,1,14424,-388,-8248
42,1,14572,4,-8272
43,1,14420,124,-8340
44,1,14404,416,-8248
45,1,14220,596,-8448
46,1,13996,884,-8196
47,1,13992,1004,-8476
48,1,14064,960,-8592
49,1,14200,952,-8528
50,1,14204,812,-8588
51,1,14060,744,-8316
52,1,14232,492,-8356
53,1,14296,372,-8340
54,1,14520,288,-8260
55,1,14440,464,-8248
56,1,14300,496,-8456
57,1,14208,516,-8676
58,1,14160,684,-8392
59,1,14192,484,-8404
60,1,13892,580,-8668
61,1,13908,556,-8864
62,1,13808,464,-8972
63,1,13788,324,-9052
64,1,13768,404,-8976
65,1,13892,480,-8740
66,1,14000,520,-8696
67,1,14148,284,-8724
68,1,14064,504,-8564
69,1,13972,420,-8656
70,1,14232,520,-8580
71,1,14180,500,-8652
72,1,14196,412,-8620
73,1,14028,656,-8604
74,1,13828,492,-8660
75,1,13976,448,-8656
76,1,13860,344,-8804
77,1,13748,252,-8888
78,1,13740,400,-8960
79,1,13796,360,-8984
80,1,13772,616,-9216
81,1,13632,736,-9116
82,1,13572,648,-9008
83,1,13852,1068,-8924
84,1,14016,1284,-8992
85,1,13920,1324,-8832
86,1,14040,1396,-8532
87,1,14200,1336,-8704
88,1,14224,1468,-8552
89,1,14228,1488,-8732
90,1,14168,1360,-8728
91,1,13992,1336,-8684
92,1,13860,1428,-8776
93,1,13888,1644,-8916
94,1,13688,1340,-9040
95,1,13652,1224,-9068
96,1,13768,1320,-9020
97,1,13824,1300,-9128
98,1,13812,1044,-8832
99,1,13884,1084,-8828
100,1,14116,900,-8908
101,1,13984,776,-8848
102,1,13760,624,-8976
103,1,13552,992,-9112
104,1,13632,1008,-9352
105,1,13548,1364,-9536
106,1,13384,1320,-9372
107,1,13568,1592,-9648
108,1,13480,1464,-9300
109,1,13676,1404,-9132
110,1,13768,1096,-9076
111,1,13856,944,-9188
112,1,13972,896,-9024
113,1,14268,680,-9060
114,1,14232,196,-9244
115,1,14172,-264,-9372
116,1,13932,-312,-9416
117,1,13628,-296,-9464
118,1,13428,-524,-9472
119,1,13232,-580,-9412
120,1,13296,-696,-9132
121,1,13356,-800,-9316
122,1,13136,-676,-9436
123,1,13256,-664,-9408
124,1,13276,-996,-9204
125,1,13276,-836,-9280
126,1,13380,-716,-9208
