_id,height,mass,position,is_valid,age,sex
1,176,70,1,0,19,1
2,176,70,1,0,19,1
3,176,70,2,0,19,1
5,176,70,1,1,19,1
6,176,70,1,1,19,1
7,176,70,1,1,19,1
8,176,70,1,1,19,1
9,176,70,2,1,19,1
10,176,70,3,1,19,1
11,176,70,3,0,19,1
12,169,52,1,0,19,1
13,169,52,2,0,19,1
14,169,52,3,0,19,1
15,169,52,3,0,19,1
16,169,52,3,0,19,1
17,169,52,1,1,19,1
18,169,52,1,1,19,1
19,169,52,2,1,19,1
20,169,52,2,1,19,1
21,169,52,3,1,19,1
22,169,52,3,1,19,1
23,169,52,3,1,19,1
24,180,85,1,0,18,1
25,180,85,2,0,18,1
26,180,80,2,1,18,1
