,_id,x,y,z
58101,47,12300,1176,-11156
58102,47,12328,1344,-11380
58103,47,12352,1188,-10996
58104,47,12452,1440,-11356
58105,47,12636,1388,-11300
58106,47,13468,1876,-11976
58107,47,13672,1852,-10952
58108,47,11844,1340,-9776
58109,47,10436,944,-10120
58110,47,10404,936,-10556
58111,47,10872,1296,-11408
58112,47,12176,1332,-11956
58113,47,12480,1472,-12036
58114,47,12332,1260,-11740
58115,47,11916,1040,-11376
58116,47,11820,1128,-11260
58117,47,12092,1048,-11168
58118,47,12484,1116,-11132
58119,47,12524,952,-11204
58120,47,12416,1036,-11224
58121,47,12116,928,-11192
58122,47,12108,976,-11308
58123,47,11924,1060,-11260
58124,47,12216,1296,-11348
58125,47,12072,1088,-11440
58126,47,12132,872,-11248
58127,47,12008,1064,-11304
58128,47,11976,1164,-11236
58129,47,11984,1116,-11612
58130,47,12060,1036,-11420
58131,47,11916,1224,-11404
58132,47,11948,1240,-11492
58133,47,11864,1264,-11464
58134,47,11996,1244,-11652
58135,47,11836,1132,-11312
58136,47,12000,1140,-11452
58137,47,11972,1176,-11464
58138,47,12124,1000,-11340
58139,47,12100,1116,-11240
58140,47,12180,1056,-11328
58141,47,12108,1100,-11456
58142,47,12188,1208,-11472
58143,47,11820,1248,-11436
58144,47,11980,1216,-11448
58145,47,12040,1352,-11372
58146,47,11992,1152,-11332
58147,47,11996,1344,-11384
58148,47,12060,1312,-11344
58149,47,12152,1460,-11472
58150,47,12072,1232,-11384
58151,47,11972,1236,-11216
58152,47,12196,1152,-11300
58153,47,12140,1204,-11320
58154,47,12080,1208,-11252
58155,47,12156,1368,-11172
58156,47,11908,932,-11392
58157,47,12064,1160,-11308
58158,47,12044,1276,-11324
58159,47,12116,1080,-11460
58160,47,12064,1252,-11440
58161,47,11972,1336,-11320
58162,47,11960,1160,-11308
58163,47,11960,1272,-11356
58164,47,12008,1224,-11272
58165,47,11888,1188,-11276
58166,47,11948,1192,-11248
58167,47,11984,1028,-11496
58168,47,11972,1132,-11340
58169,47,11928,1144,-11344
58170,47,11904,1128,-11444
58171,47,12020,1052,-11500
58172,47,12060,1228,-11368
58173,47,12028,1024,-11328
58174,47,12132,1048,-11448
58175,47,12036,1440,-11384
58176,47,11792,940,-11508
58177,47,11848,1068,-11520
58178,47,11868,1064,-11420
58179,47,11908,1380,-11232
58180,47,12196,1128,-11308
58181,47,12192,1244,-11340
58182,47,11928,1188,-11304
58183,47,12000,1456,-11388
58184,47,12104,1428,-11360
58185,47,12088,1136,-11332
58186,47,11896,1232,-11252
58187,47,11988,1040,-11420
58188,47,12156,1084,-11348
58189,47,12188,1252,-11380
58190,47,12140,1152,-11316
58191,47,12268,1076,-11312
58192,47,11928,1116,-11232
58193,47,11932,1060,-11264
58194,47,12052,1376,-11204
58195,47,11888,784,-11360
58196,47,12080,888,-11512
58197,47,11928,1260,-11328
58198,47,12016,1156,-11196
58199,47,12084,992,-11304
58200,47,12092,1252,-11372
58201,47,12028,1000,-11224
58202,47,12160,1136,-11340
58203,47,12124,1196,-11344
58204,47,12016,1096,-11312
58205,47,12096,1056,-11272
58206,47,12040,1088,-11480
58207,47,12008,1164,-11424
58208,47,12036,1132,-11460
58209,47,12076,1080,-11388
58210,47,12056,1084,-11496
58211,47,12052,1108,-11352
58212,47,11984,1336,-11452
58213,47,11948,1044,-11324
58214,47,11856,1032,-11500
58215,47,11904,1052,-11476
58216,47,12040,1068,-11488
58217,47,11892,1144,-11504
58218,47,11816,1168,-11580
58219,47,11980,1228,-11452
58220,47,11796,1328,-11376
58221,47,11948,1316,-11588
58222,47,11864,1052,-11432
58223,47,11972,1160,-11620
58224,47,11924,1184,-11464
58225,47,11972,1196,-11436
58226,47,11936,1220,-11432
58227,47,12048,1076,-11500
58228,47,12080,1200,-11308
58229,47,12000,1040,-11484
58230,47,11976,1176,-11388
58231,47,11964,1100,-11528
58232,47,11988,1212,-11452
58233,47,11860,1256,-11336
58234,47,11988,1164,-11428
58235,47,11936,1204,-11440
58236,47,11988,1300,-11324
58237,47,12048,1272,-11348
58238,47,11932,1236,-11492
58239,47,12032,1256,-11408
58240,47,12040,1028,-11384
58241,47,11844,1084,-11428
58242,47,11924,1116,-11476
58243,47,12176,1184,-11276
58244,47,12076,1184,-11340
