_id,,x_mean,x_std,x_max,x_min,x_energy,x_iqr,y_mean,y_std,y_max,y_min,y_energy,y_iqr,z_mean,z_std,z_max,z_min,z_energy,z_iqr,sma,xy_corr,xz_corr,yz_corr
1,99,14093.32,292.10489606138003,15044.0,13252.0,198706140.64,345.0,565.96,633.5234151756016,1840.0,-1360.0,717649.12,653.0,-8564.2,315.49115148711815,-7808.0,-9220.0,73444060.96,445.0,16517.733674671807,-0.16039250650389394,0.6938949112115472,-0.30466640086004376
1,124,13962.08,324.3788681480494,14636.0,13136.0,195043847.36,433.0,676.16,603.7672760562334,1840.0,-996.0,818081.92,677.0,-8782.2,383.493510671661,-8064.0,-9648.0,77272633.44,569.0,16526.01873779031,0.20336878587898782,0.8161379523506972,0.16481606333493246
1,149,13766.2,357.60657802460236,14520.0,12836.0,189634866.08,468.0,157.68,1043.186134257483,1644.0,-2016.0,1102217.92,1575.0,-9051.92,394.4389105316798,-8248.0,-9904.0,82091281.92,630.0,16516.76667335422,0.6249058757998956,0.8414895080490028,0.6231657965545317
1,174,13474.52,448.44157710989913,14268.0,12544.0,181761778.08,639.0,216.4,1293.0950733364002,3004.0,-2016.0,1702202.88,2124.0,-9476.16,561.8563517483856,-8532.0,-10612.0,90110134.08,840.0,16539.117805752092,0.10529779203508345,0.8639786431092243,0.016581828057227126
1,199,13171.72,525.8601434840443,14268.0,12000.0,173767971.36,814.0,-11.08,1209.6778574429973,3004.0,-2016.0,1448810.08,1748.0,-9901.0,644.5638725980484,-8848.0,-11392.0,98441108.96,1082.0,16541.61121541557,-0.059149728557322215,0.8945538017965495,-0.1752150461156135
1,224,13186.96,526.9793072816421,13940.0,12000.0,174170844.16,952.0,44.44,1158.1997727228909,3004.0,-2016.0,1329987.36,1412.0,-9859.76,691.2696139654387,-8812.0,-11392.0,97687942.4,1153.0,16527.73866049077,-0.03947416719887604,0.9292414928802538,-0.10706311803456033
1,249,13329.52,638.967546005657,14708.0,12000.0,178080300.16,1100.0,552.16,819.2490121070554,3004.0,-1780.0,969337.92,503.0,-9686.12,851.4958350877157,-8068.0,-11392.0,94538715.36,1470.0,16539.870396700106,0.19686753998529194,0.9584112822141273,0.18872165651397657
1,274,13512.84,596.4575004968851,14708.0,12000.0,182949048.8,589.0,471.4,412.1254589799039,1172.0,-748.0,390366.88,412.0,-9402.96,787.0348640128528,-8068.0,-11392.0,89028886.4,672.0,16503.103633691804,0.730058561668509,0.9691789849134828,0.7172107057471255
1,299,13735.12,272.32457164792936,14708.0,13168.0,188726940.48,353.0,641.6,307.9813715998545,1172.0,-356.0,505554.56,290.0,-9106.76,331.51050442703746,-8068.0,-9660.0,83041877.92,503.0,16500.360845719766,0.2780720232939289,0.881769835459484,0.23768020280908642
1,324,13712.56,263.9773605229877,14708.0,13256.0,188103288.96,305.0,643.0,331.9819272189413,1264.0,-356.0,522558.88,356.0,-9165.08,334.34312744350007,-8068.0,-9664.0,84109358.88,383.0,16514.256182662208,0.21149534640184015,0.8450092098218382,0.17982613724970403
1,349,13609.6,162.63983882098745,14404.0,13256.0,185247399.36,181.0,838.04,618.349055097035,2576.0,-356.0,1080843.04,619.0,-9283.2,192.24059000236525,-8748.0,-9664.0,86214389.12,211.0,16508.423147019235,-0.08011111913688868,0.5390103760686343,-0.004654127422257921
1,374,13635.36,162.98202912646792,14092.0,13256.0,185949339.84,235.0,864.48,636.4983194848772,2576.0,-508.0,1148404.48,661.0,-9290.48,216.118770189671,-8720.0,-9852.0,86359258.88,243.0,16535.814073143083,-0.2987346678467422,0.22613054732884746,0.09546102775810363
1,399,13616.12,219.3267605167854,14180.0,13020.0,185446347.04,317.0,519.24,906.8460954363113,2576.0,-1152.0,1083756.32,1276.0,-9273.88,228.53946811188138,-8720.0,-9852.0,86056558.24,273.0,16508.927753277054,0.04518816778144778,0.14427791410728777,0.14143536106024956
1,424,13611.12,234.00981072414726,14180.0,13020.0,185316800.64,343.0,537.64,966.123583286228,2576.0,-1208.0,1213117.6,1353.0,-9274.44,244.4720685952601,-8720.0,-9852.0,86074406.24,320.0,16509.426921340266,-0.0187692220446575,0.23297536030734597,0.16372080246515486
1,449,13604.76,237.82767379815647,14180.0,13020.0,185145491.04,335.0,302.56,731.7111578935103,1476.0,-1208.0,621589.76,1191.0,-9306.8,238.05644012897918,-8720.0,-9852.0,86672630.4,305.0,16504.477296414334,0.055861163680783234,0.25820918220597977,0.2095236077135598
1,474,13456.4,299.42571295024374,14180.0,12672.0,181163460.16,365.0,353.8,795.9230204897065,2188.0,-1208.0,752332.96,1244.0,-9466.8,301.2289977590532,-8912.0,-10240.0,89710133.76,357.0,16479.917270326678,-0.2887945079952781,0.6018929633334601,-0.2669609705582814
1,499,13339.28,328.14058578666,13976.0,12672.0,178042990.4,535.0,418.64,710.9121686362912,2188.0,-1208.0,675601.6,1183.0,-9655.12,372.4919436455283,-8952.0,-10256.0,93358704.96,716.0,16494.100686486272,0.10017210226771503,0.8241529944894842,0.3000272631335324
1,524,13185.84,297.62449122643,13840.0,12672.0,173954071.04,484.0,140.0,684.7940337699152,2188.0,-956.0,483853.44,1117.0,-9853.04,344.81211162493844,-9188.0,-10404.0,97200103.68,608.0,16480.96032344799,0.24893831235713895,0.843239375987483,0.40752275885690287
